Date : 2025-12-09 16:52:38
Directory : /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/packages/core
Total : 920 files,  -183543 codes, -11481 comments, -24823 blanks, all -219847 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| ../../.github/actions/run-tests                                                                                                      |          1 |        -36 |          0 |         -3 |        -39 |
| ../../.github/actions/setup-npmrc                                                                                                    |          1 |        -19 |          0 |         -4 |        -23 |
| ../../.github/actions/tag-npm-release                                                                                                |          1 |       -114 |          0 |        -12 |       -126 |
| ../../.github/actions/verify-release                                                                                                 |          1 |        -87 |         -2 |        -12 |       -101 |
| ../../.github/scripts                                                                                                                |          1 |       -102 |        -16 |        -20 |       -138 |
| ../../.github/workflows                                                                                                              |         31 |     -4,264 |        -39 |       -503 |     -4,806 |
| ../../docs                                                                                                                           |         67 |    -14,037 |          0 |     -3,766 |    -17,803 |
| ../../docs (Files)                                                                                                                   |         14 |     -2,189 |          0 |       -664 |     -2,853 |
| ../../docs/changelogs                                                                                                                |          1 |       -441 |          0 |        -36 |       -477 |
| ../../docs/cli                                                                                                                       |         23 |     -3,914 |          0 |     -1,018 |     -4,932 |
| ../../docs/core                                                                                                                      |          4 |       -530 |          0 |       -196 |       -726 |
| ../../docs/examples                                                                                                                  |          1 |        -69 |          0 |        -15 |        -84 |
| ../../docs/extensions                                                                                                                |          3 |       -539 |          0 |       -182 |       -721 |
| ../../docs/get-started                                                                                                               |          8 |     -2,734 |          0 |       -602 |     -3,336 |
| ../../docs/hooks                                                                                                                     |          3 |     -1,870 |          0 |       -525 |     -2,395 |
| ../../docs/ide-integration                                                                                                           |          2 |       -371 |          0 |       -100 |       -471 |
| ../../docs/tools                                                                                                                     |          8 |     -1,380 |          0 |       -428 |     -1,808 |
| ../../integration-tests                                                                                                              |         28 |     -4,350 |       -525 |       -745 |     -5,620 |
| ../../mdocs                                                                                                                          |          1 |         -1 |          0 |         -1 |         -2 |
| ../../schemas                                                                                                                        |          1 |     -1,849 |          0 |         -1 |     -1,850 |
| ../../scripts                                                                                                                        |         43 |     -4,986 |       -603 |       -831 |     -6,420 |
| ../../scripts (Files)                                                                                                                |         29 |     -3,244 |       -432 |       -535 |     -4,211 |
| ../../scripts/releasing                                                                                                              |          4 |       -987 |        -88 |       -163 |     -1,238 |
| ../../scripts/tests                                                                                                                  |          9 |       -667 |        -70 |       -114 |       -851 |
| ../../scripts/utils                                                                                                                  |          1 |        -88 |        -13 |        -19 |       -120 |
| ../../third_party                                                                                                                    |          3 |       -156 |        -20 |        -13 |       -189 |
| ../../third_party/get-ripgrep                                                                                                        |          3 |       -156 |        -20 |        -13 |       -189 |
| ../../third_party/get-ripgrep (Files)                                                                                                |          1 |        -46 |          0 |         -1 |        -47 |
| ../../third_party/get-ripgrep/src                                                                                                    |          2 |       -110 |        -20 |        -12 |       -142 |
| ../a2a-server                                                                                                                        |         30 |     -5,191 |       -359 |       -687 |     -6,237 |
| ../a2a-server (Files)                                                                                                                |          6 |       -518 |        -11 |       -105 |       -634 |
| ../a2a-server/src                                                                                                                    |         24 |     -4,673 |       -348 |       -582 |     -5,603 |
| ../a2a-server/src (Files)                                                                                                            |          2 |        -95 |        -32 |        -22 |       -149 |
| ../a2a-server/src/agent                                                                                                              |          3 |     -1,657 |       -113 |       -174 |     -1,944 |
| ../a2a-server/src/commands                                                                                                           |          5 |       -231 |        -26 |        -57 |       -314 |
| ../a2a-server/src/config                                                                                                             |          4 |       -567 |        -52 |        -79 |       -698 |
| ../a2a-server/src/http                                                                                                               |          5 |     -1,250 |        -87 |       -162 |     -1,499 |
| ../a2a-server/src/persistence                                                                                                        |          2 |       -669 |        -17 |        -69 |       -755 |
| ../a2a-server/src/utils                                                                                                              |          3 |       -204 |        -21 |        -19 |       -244 |
| ../cli                                                                                                                               |        658 |   -124,492 |     -9,654 |    -17,332 |   -151,478 |
| ../cli (Files)                                                                                                                       |          5 |       -224 |        -21 |        -24 |       -269 |
| ../cli/examples                                                                                                                      |          1 |       -141 |        -10 |        -15 |       -166 |
| ../cli/src                                                                                                                           |        652 |   -124,127 |     -9,623 |    -17,293 |   -151,043 |
| ../cli/src (Files)                                                                                                                   |          8 |     -4,537 |       -279 |       -516 |     -5,332 |
| ../cli/src/commands                                                                                                                  |         44 |     -4,575 |       -276 |       -637 |     -5,488 |
| ../cli/src/commands (Files)                                                                                                          |          7 |       -215 |        -51 |        -44 |       -310 |
| ../cli/src/commands/extensions                                                                                                       |         29 |     -2,640 |       -132 |       -309 |     -3,081 |
| ../cli/src/commands/extensions (Files)                                                                                               |         20 |     -2,403 |       -120 |       -277 |     -2,800 |
| ../cli/src/commands/extensions/examples                                                                                              |          9 |       -237 |        -12 |        -32 |       -281 |
| ../cli/src/commands/extensions/examples/context                                                                                      |          2 |        -15 |          0 |         -5 |        -20 |
| ../cli/src/commands/extensions/examples/custom-commands                                                                              |          1 |         -4 |          0 |         -1 |         -5 |
| ../cli/src/commands/extensions/examples/exclude-tools                                                                                |          1 |         -5 |          0 |         -1 |         -6 |
| ../cli/src/commands/extensions/examples/mcp-server                                                                                   |          5 |       -213 |        -12 |        -25 |       -250 |
| ../cli/src/commands/hooks                                                                                                            |          2 |       -622 |        -48 |       -123 |       -793 |
| ../cli/src/commands/mcp                                                                                                              |          6 |     -1,098 |        -45 |       -161 |     -1,304 |
| ../cli/src/config                                                                                                                    |         39 |    -15,821 |       -786 |     -1,739 |    -18,346 |
| ../cli/src/config (Files)                                                                                                            |         22 |    -12,173 |       -547 |     -1,235 |    -13,955 |
| ../cli/src/config/extensions                                                                                                         |         17 |     -3,648 |       -239 |       -504 |     -4,391 |
| ../cli/src/core                                                                                                                      |          6 |       -288 |        -50 |        -50 |       -388 |
| ../cli/src/patches                                                                                                                   |          1 |         -2 |        -12 |         -4 |        -18 |
| ../cli/src/services                                                                                                                  |         18 |     -3,966 |       -405 |       -589 |     -4,960 |
| ../cli/src/services (Files)                                                                                                          |          9 |     -2,652 |       -254 |       -367 |     -3,273 |
| ../cli/src/services/prompt-processors                                                                                                |          9 |     -1,314 |       -151 |       -222 |     -1,687 |
| ../cli/src/test-utils                                                                                                                |          7 |       -625 |        -85 |        -99 |       -809 |
| ../cli/src/ui                                                                                                                        |        460 |    -81,492 |     -6,436 |    -11,484 |    -99,412 |
| ../cli/src/ui (Files)                                                                                                                |         14 |     -4,419 |       -333 |       -590 |     -5,342 |
| ../cli/src/ui/auth                                                                                                                   |          8 |     -1,211 |        -57 |       -157 |     -1,425 |
| ../cli/src/ui/commands                                                                                                               |         64 |     -8,065 |       -546 |     -1,282 |     -9,893 |
| ../cli/src/ui/components                                                                                                             |        177 |    -31,002 |     -2,389 |     -4,004 |    -37,395 |
| ../cli/src/ui/components (Files)                                                                                                     |        114 |    -17,223 |     -1,241 |     -2,253 |    -20,717 |
| ../cli/src/ui/components/messages                                                                                                    |         31 |     -3,639 |       -247 |       -390 |     -4,276 |
| ../cli/src/ui/components/shared                                                                                                      |         23 |     -9,339 |       -854 |     -1,279 |    -11,472 |
| ../cli/src/ui/components/views                                                                                                       |          9 |       -801 |        -47 |        -82 |       -930 |
| ../cli/src/ui/constants                                                                                                              |          2 |       -287 |        -16 |         -4 |       -307 |
| ../cli/src/ui/contexts                                                                                                               |         18 |     -3,453 |       -374 |       -550 |     -4,377 |
| ../cli/src/ui/editors                                                                                                                |          1 |        -43 |         -5 |         -9 |        -57 |
| ../cli/src/ui/hooks                                                                                                                  |         99 |    -24,062 |     -1,692 |     -3,765 |    -29,519 |
| ../cli/src/ui/layouts                                                                                                                |          2 |        -91 |        -12 |        -12 |       -115 |
| ../cli/src/ui/noninteractive                                                                                                         |          1 |        -20 |        -10 |         -3 |        -33 |
| ../cli/src/ui/privacy                                                                                                                |          8 |       -487 |        -46 |        -78 |       -611 |
| ../cli/src/ui/state                                                                                                                  |          2 |       -360 |        -12 |        -53 |       -425 |
| ../cli/src/ui/themes                                                                                                                 |         22 |     -3,631 |       -299 |       -256 |     -4,186 |
| ../cli/src/ui/utils                                                                                                                  |         42 |     -4,361 |       -645 |       -721 |     -5,727 |
| ../cli/src/utils                                                                                                                     |         60 |    -10,096 |     -1,192 |     -1,748 |    -13,036 |
| ../cli/src/zed-integration                                                                                                           |          9 |     -2,725 |       -102 |       -427 |     -3,254 |
| ../test-utils                                                                                                                        |          6 |        -86 |        -69 |        -15 |       -170 |
| ../test-utils (Files)                                                                                                                |          4 |        -46 |        -10 |         -7 |        -63 |
| ../test-utils/src                                                                                                                    |          2 |        -40 |        -59 |         -8 |       -107 |
| ../vscode-ide-companion                                                                                                              |         17 |     -2,649 |       -136 |       -359 |     -3,144 |
| ../vscode-ide-companion (Files)                                                                                                      |          7 |       -298 |        -24 |        -35 |       -357 |
| ../vscode-ide-companion/scripts                                                                                                      |          2 |       -208 |        -13 |        -40 |       -261 |
| ../vscode-ide-companion/src                                                                                                          |          8 |     -2,143 |        -99 |       -284 |     -2,526 |
| ../vscode-ide-companion/src (Files)                                                                                                  |          7 |     -2,127 |        -94 |       -280 |     -2,501 |
| ../vscode-ide-companion/src/utils                                                                                                    |          1 |        -16 |         -5 |         -4 |        -25 |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                             | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.allstar/branch_protection.yaml                                                     | YAML               |         -1 |          0 |         -1 |         -2 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.gcp/release-docker.yml                                                             | YAML               |        -57 |         -6 |         -9 |        -72 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.gemini/config.yaml                                                                 | YAML               |        -10 |         -2 |         -1 |        -13 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/ISSUE_TEMPLATE/bug_report.yml                                               | YAML               |        -50 |         -1 |         -9 |        -60 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/ISSUE_TEMPLATE/feature_request.yml                                          | YAML               |        -32 |          0 |         -4 |        -36 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/ISSUE_TEMPLATE/website_issue.yml                                            | YAML               |        -37 |          0 |         -4 |        -41 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/calculate-vars/action.yml                                           | YAML               |        -29 |          0 |         -5 |        -34 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/create-pull-request/action.yml                                      | YAML               |        -54 |          0 |         -3 |        -57 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/npm-auth-token/action.yml                                           | YAML               |        -42 |          0 |         -4 |        -46 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/post-coverage-comment/action.yml                                    | YAML               |       -108 |         -3 |         -9 |       -120 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/publish-release/action.yml                                          | YAML               |       -253 |         -2 |        -21 |       -276 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/push-docker/action.yml                                              | YAML               |        -76 |          0 |         -3 |        -79 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/push-sandbox/action.yml                                             | YAML               |        -94 |          0 |         -3 |        -97 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/run-tests/action.yml                                                | YAML               |        -36 |          0 |         -3 |        -39 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/setup-npmrc/action.yml                                              | YAML               |        -19 |          0 |         -4 |        -23 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/tag-npm-release/action.yml                                          | YAML               |       -114 |          0 |        -12 |       -126 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/actions/verify-release/action.yml                                           | YAML               |        -87 |         -2 |        -12 |       -101 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/dependabot.yml                                                              | YAML               |        -30 |         -4 |         -2 |        -36 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/pull_request_template.md                                                    | Markdown           |        -25 |         -7 |        -11 |        -43 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/scripts/pr-triage.sh                                                        | Shell Script       |       -102 |        -16 |        -20 |       -138 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/ci.yml                                                            | YAML               |       -334 |         -1 |        -58 |       -393 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/community-report.yml                                              | YAML               |       -170 |         -1 |        -27 |       -198 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/deflake.yml                                                       | YAML               |       -148 |          0 |        -23 |       -171 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/docs-page-action.yml                                              | YAML               |        -39 |         -3 |         -9 |        -51 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/docs-rebuild.yml                                                  | YAML               |        -17 |          0 |         -1 |        -18 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/e2e.yml                                                           | YAML               |       -218 |         -2 |        -28 |       -248 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/eval.yml                                                          | YAML               |        -43 |          0 |         -6 |        -49 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/gemini-automated-issue-dedup.yml                                  | YAML               |       -241 |         -3 |        -19 |       -263 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/gemini-automated-issue-triage.yml                                 | YAML               |       -338 |         -3 |        -35 |       -376 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/gemini-scheduled-issue-dedup.yml                                  | YAML               |        -99 |         -4 |        -14 |       -117 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/gemini-scheduled-issue-triage.yml                                 | YAML               |       -304 |         -3 |        -27 |       -334 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/gemini-scheduled-pr-triage.yml                                    | YAML               |        -37 |          0 |         -5 |        -42 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/gemini-scheduled-stale-issue-closer.yml                           | YAML               |       -128 |          0 |        -24 |       -152 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/gemini-self-assign-issue.yml                                      | YAML               |        -86 |         -1 |        -13 |       -100 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/links.yml                                                         | YAML               |        -20 |          0 |         -4 |        -24 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/no-response.yml                                                   | YAML               |        -30 |         -1 |         -3 |        -34 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/release-change-tags.yml                                           | YAML               |        -61 |          0 |         -5 |        -66 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/release-manual.yml                                                | YAML               |       -125 |          0 |        -11 |       -136 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/release-nightly.yml                                               | YAML               |       -140 |         -4 |        -17 |       -161 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/release-patch-0-from-comment.yml                                  | YAML               |       -159 |         -1 |        -29 |       -189 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/release-patch-1-create-pr.yml                                     | YAML               |       -122 |         -2 |        -11 |       -135 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/release-patch-2-trigger.yml                                       | YAML               |        -88 |          0 |         -7 |        -95 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/release-patch-3-release.yml                                       | YAML               |       -220 |         -7 |        -25 |       -252 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/release-promote.yml                                               | YAML               |       -369 |         -2 |        -36 |       -407 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/release-rollback.yml                                              | YAML               |       -221 |          0 |        -21 |       -242 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/release-sandbox.yml                                               | YAML               |        -47 |          0 |         -3 |        -50 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/smoke-test.yml                                                    | YAML               |        -48 |          0 |         -3 |        -51 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/stale.yml                                                         | YAML               |        -41 |         -1 |         -3 |        -45 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/test_chained_e2e.yml                                              | YAML               |       -286 |          0 |        -30 |       -316 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/trigger_e2e.yml                                                   | YAML               |        -36 |          0 |         -3 |        -39 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.github/workflows/verify-release.yml                                                | YAML               |        -49 |          0 |         -3 |        -52 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.prettierignore                                                                     | Ignore             |        -21 |          0 |         -1 |        -22 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.prettierrc.json                                                                    | JSON               |        -17 |          0 |         -1 |        -18 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/.yamllint.yml                                                                       | YAML               |        -68 |          0 |        -22 |        -90 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/CONTRIBUTING.md                                                                     | Markdown           |       -392 |          0 |       -153 |       -545 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/Dockerfile                                                                          | Docker             |        -38 |         -6 |         -7 |        -51 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/GEMINI.md                                                                           | Markdown           |       -324 |          0 |        -77 |       -401 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/Makefile                                                                            | Makefile           |        -42 |         -1 |        -17 |        -60 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/README.md                                                                           | Markdown           |       -269 |          0 |       -107 |       -376 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/ROADMAP.md                                                                          | Markdown           |        -93 |          0 |        -21 |       -114 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/SECURITY.md                                                                         | Markdown           |         -7 |          0 |         -3 |        -10 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/CONTRIBUTING.md                                                                | Markdown           |       -392 |          0 |       -153 |       -545 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/architecture.md                                                                | Markdown           |        -69 |          0 |        -12 |        -81 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/changelogs/index.md                                                            | Markdown           |       -441 |          0 |        -36 |       -477 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/cli/authentication.md                                                          | Markdown           |         -2 |          0 |         -2 |         -4 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/cli/checkpointing.md                                                           | Markdown           |        -70 |          0 |        -25 |        -95 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/cli/commands.md                                                                | Markdown           |       -309 |          0 |        -46 |       -355 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/cli/configuration.md                                                           | Markdown           |       -692 |          0 |        -89 |       -781 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/cli/custom-commands.md                                                         | Markdown           |       -227 |          0 |        -89 |       -316 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/cli/enterprise.md                                                              | Markdown           |       -456 |          0 |       -110 |       -566 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/cli/gemini-ignore.md                                                           | Markdown           |        -50 |          0 |        -22 |        -72 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/cli/gemini-md.md                                                               | Markdown           |        -77 |          0 |        -32 |       -109 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/cli/generation-settings.md                                                     | Markdown           |       -166 |          0 |        -45 |       -211 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/cli/headless.md                                                                | Markdown           |       -315 |          0 |        -74 |       -389 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/cli/index.md                                                                   | Markdown           |        -49 |          0 |        -13 |        -62 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/cli/keyboard-shortcuts.md                                                      | Markdown           |       -114 |          0 |        -30 |       -144 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/cli/model-routing.md                                                           | Markdown           |        -31 |          0 |        -11 |        -42 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/cli/model.md                                                                   | Markdown           |        -46 |          0 |        -17 |        -63 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/cli/sandbox.md                                                                 | Markdown           |       -115 |          0 |        -57 |       -172 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/cli/session-management.md                                                      | Markdown           |       -115 |          0 |        -44 |       -159 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/cli/settings.md                                                                | Markdown           |        -88 |          0 |        -25 |       -113 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/cli/telemetry.md                                                               | Markdown           |       -639 |          0 |       -153 |       -792 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/cli/themes.md                                                                  | Markdown           |       -176 |          0 |        -62 |       -238 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/cli/token-caching.md                                                           | Markdown           |        -14 |          0 |         -7 |        -21 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/cli/trusted-folders.md                                                         | Markdown           |        -68 |          0 |        -28 |        -96 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/cli/tutorials.md                                                               | Markdown           |        -63 |          0 |        -21 |        -84 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/cli/uninstall.md                                                               | Markdown           |        -32 |          0 |        -16 |        -48 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/core/index.md                                                                  | Markdown           |        -76 |          0 |        -26 |       -102 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/core/memport.md                                                                | Markdown           |       -161 |          0 |        -84 |       -245 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/core/policy-engine.md                                                          | Markdown           |       -178 |          0 |        -69 |       -247 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/core/tools-api.md                                                              | Markdown           |       -115 |          0 |        -17 |       -132 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/examples/proxy-script.md                                                       | Markdown           |        -69 |          0 |        -15 |        -84 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/extensions/extension-releasing.md                                              | Markdown           |       -141 |          0 |        -43 |       -184 |
| /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/docs/extensions/getting-started-extensions.md                                       | Markdown           |       -184 |          0 |        -62 |       -246 |
